phase_segment_id,phase_label,start_window_id,end_window_id,window_count,start_time,end_time,duration_minutes,mean_speed,mean_load,mean_pressure,mean_temperature,mean_core_outlier_fraction
13,stable_run,109,113,5,2026-02-16 15:57:56+00:00,2026-02-16 16:31:57+00:00,34.016666666666666,118.56666636,77.37066629333334,378.09199872,173.92715170787878,0.0
14,ramp_down,114,122,9,2026-02-16 16:22:57+00:00,2026-02-16 17:14:59+00:00,52.03333333333333,39.41703688888888,25.701481712074074,196.10222246296294,168.97313096835018,0.3851851851851852
15,off,123,167,45,2026-02-16 17:05:59+00:00,2026-02-16 20:57:07+00:00,231.13333333333333,0.03837037075407408,0.0,2.395555587777778,121.83754880686871,0.0874074074074074
16,transition,168,168,1,2026-02-16 20:48:07+00:00,2026-02-16 21:02:08+00:00,14.016666666666667,1.1933333204666667,0.7600000066666667,4.48666673,173.2072729818182,0.3333333333333333
17,ramp_up,169,174,6,2026-02-16 20:53:07+00:00,2026-02-16 21:32:09+00:00,39.03333333333333,60.37333298563333,39.38888896144445,197.9222207188889,175.3364647737374,0.5
18,ramp_down,175,176,2,2026-02-16 21:23:08+00:00,2026-02-16 21:42:09+00:00,19.016666666666666,121.04999936666667,79.29666723,353.3733337333333,174.19878839696972,0.13333333333333333
19,transition,177,177,1,2026-02-16 21:33:09+00:00,2026-02-16 21:47:09+00:00,14.0,114.81333346666666,75.51333415999999,356.5599996,174.0751520242424,0.0
20,ramp_up,178,178,1,2026-02-16 21:38:09+00:00,2026-02-16 21:52:09+00:00,14.0,114.98000073333333,75.90666708666666,357.81333413333334,174.18606095151515,0.06666666666666667
21,stable_run,179,180,2,2026-02-16 21:43:09+00:00,2026-02-16 22:02:10+00:00,19.016666666666666,117.38000056666667,77.06000010666668,356.77666826666666,174.2136365,0.23333333333333334
22,transition,181,182,2,2026-02-16 21:53:09+00:00,2026-02-16 22:12:10+00:00,19.016666666666666,113.46333390000001,74.11333235666666,354.0200032,174.0069698878788,0.13333333333333333
23,stable_run,183,215,33,2026-02-16 22:03:10+00:00,2026-02-17 00:57:16+00:00,174.1,110.48424264848485,72.21999991131314,353.36161676767676,173.99245177024795,0.07272727272727272
24,ramp_up,216,217,2,2026-02-17 00:48:16+00:00,2026-02-17 01:07:17+00:00,19.016666666666666,114.77999956666667,74.91999942333334,361.52666726666666,174.1181824090909,0.1
25,stable_run,218,218,1,2026-02-17 00:58:16+00:00,2026-02-17 01:12:17+00:00,14.016666666666667,121.21333266666666,79.27333270666666,362.4733337333334,174.21030364848485,0.13333333333333333
26,ramp_down,219,219,1,2026-02-17 01:03:17+00:00,2026-02-17 01:17:17+00:00,14.0,120.04666599999999,78.59999999333334,362.09333093333333,174.06545492727273,0.06666666666666667
27,transition,220,220,1,2026-02-17 01:08:17+00:00,2026-02-17 01:22:17+00:00,14.0,115.73999946666667,75.64666696666667,361.7733297333333,173.8660601151515,0.0
28,stable_run,221,395,175,2026-02-17 01:13:17+00:00,2026-02-17 15:46:50+00:00,873.55,106.46476180666667,69.63413330430477,366.6585142537143,174.00223730652812,0.04114285714285715
29,transition,396,397,2,2026-02-17 15:37:50+00:00,2026-02-17 15:56:50+00:00,19.0,106.81333293333333,69.72999979000001,373.500004,173.9200002909091,0.0
30,stable_run,398,983,586,2026-02-17 15:47:50+00:00,2026-02-19 16:00:39+00:00,2892.8166666666666,106.68326512007964,69.74690556320819,382.6094992639363,174.0169731014686,0.06405005688282138
31,transition,984,985,2,2026-02-19 15:51:38+00:00,2026-02-19 16:10:39+00:00,19.016666666666666,106.81333303333334,69.56999995666666,388.01999920000003,174.1393949848485,0.13333333333333333
32,stable_run,986,1015,30,2026-02-19 16:01:39+00:00,2026-02-19 18:36:45+00:00,155.1,107.85488877555555,70.469999726,389.8646666799999,174.0322832470707,0.04666666666666666
33,ramp_up,1016,1017,2,2026-02-19 18:27:44+00:00,2026-02-19 18:46:45+00:00,19.016666666666666,108.71666523333333,71.67666574,390.48000179999997,174.18606131515153,0.16666666666666666
34,transition,1018,1020,3,2026-02-19 18:37:45+00:00,2026-02-19 19:01:45+00:00,24.0,113.07555555555557,73.99999948666668,389.63110697777785,174.2292921111111,0.35555555555555557
35,stable_run,1021,1396,376,2026-02-19 18:52:45+00:00,2026-02-21 01:48:55+00:00,1856.1666666666667,105.65898945044326,69.08155143135637,392.70943245868796,174.00462154717926,0.05390070921985815
36,transition,1397,1399,3,2026-02-21 01:39:55+00:00,2026-02-21 02:02:56+00:00,23.016666666666666,106.75777786666667,69.71777784888889,395.5044427111111,174.02424254545454,0.044444444444444446
37,stable_run,1400,1511,112,2026-02-21 01:53:56+00:00,2026-02-21 11:16:17+00:00,562.35,104.80059521714286,68.53464274952383,396.2386897440477,174.01422658382035,0.05416666666666666
38,ramp_down,1512,1518,7,2026-02-21 11:07:16+00:00,2026-02-21 11:51:18+00:00,44.03333333333333,43.03333325084761,28.38380941752381,199.76000033590475,164.58398266060607,0.6380952380952382
39,off,1519,2040,522,2026-02-21 11:42:18+00:00,2026-02-23 06:35:55+00:00,2573.616666666667,0.041558110249553,0.0,2.29358874820562,47.71123417360966,0.00983397190293742
40,transition,2041,2041,1,2026-02-23 06:26:54+00:00,2026-02-23 06:40:55+00:00,14.016666666666667,2.1533333729333335,1.3133333526666666,11.953333313333333,172.91272703636363,0.9333333333333333
41,ramp_up,2042,2050,9,2026-02-23 06:31:55+00:00,2026-02-23 07:23:57+00:00,52.03333333333333,44.60666666602222,28.85259280051852,224.8607418514815,174.88659917912457,0.6148148148148148
42,transition,2051,2051,1,2026-02-23 07:15:56+00:00,2026-02-23 07:28:57+00:00,13.016666666666667,112.12666586666667,73.36666718666667,375.18666986666665,173.7806060787879,0.6666666666666666
43,stable_run,2052,3509,1458,2026-02-23 07:20:56+00:00,2026-02-28 07:04:27+00:00,7183.516666666666,98.46418610200959,64.358470493754,385.19142898390487,174.1934182316311,0.058161865569272976
44,transition,3510,3511,2,2026-02-28 06:55:27+00:00,2026-02-28 07:14:28+00:00,19.016666666666666,97.67000023,63.73666649333333,380.9599986,174.52909106363637,0.03333333333333333
45,stable_run,3512,3555,44,2026-02-28 07:05:27+00:00,2026-02-28 10:51:36+00:00,226.15,93.78128784750001,61.36575759999999,380.5228794787879,174.36245887045456,0.08484848484848485
46,ramp_down,3556,3558,3,2026-02-28 10:42:36+00:00,2026-02-28 11:05:37+00:00,23.016666666666666,55.75555552222223,36.58666692222223,301.86222128888886,174.4034340949495,0.48888888888888893
47,transition,3559,3561,3,2026-02-28 10:57:36+00:00,2026-02-28 11:20:37+00:00,23.016666666666666,19.34444434871111,12.711111189333332,150.90888720555554,170.30424242020203,0.7777777777777778
48,ramp_down,3562,3563,2,2026-02-28 11:11:37+00:00,2026-02-28 11:29:38+00:00,18.016666666666666,6.046666593233334,3.8733333426666663,44.88666603,156.96878791515152,0.43333333333333335
49,off,3564,4085,522,2026-02-28 11:21:37+00:00,2026-03-02 06:15:15+00:00,2573.633333333333,0.045670498478033214,0.0006896551968071519,2.2863473576819926,49.63724834509114,0.023243933588761173
