TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 10:10:00+00,93.40000153,60.79999924,248.1999969,174.8000031,175,174.8999939,175.1000061
2026-04-28 10:11:00+00,92.59999847,60,249.5,174.6999969,175,174.8999939,174.8000031
2026-04-28 10:12:00+00,92.40000153,60.90000153,250.3999939,174.8000031,175,175,174.6000061
2026-04-28 10:14:00+00,91.90000153,61.5,248.8000031,175,175,175,174.8000031
2026-04-28 10:15:00+00,94.5,61.20000076,247.3000031,175,174.8999939,175,175.1000061
2026-04-28 10:17:00+00,90.80000305,60.29999924,247.8999939,175,175,174.8999939,175.1000061
2026-04-28 10:18:00+00,92.19999695,61.59999847,250,175,175,174.8999939,175.1000061
2026-04-28 10:19:00+00,93.80000305,62,250.6000061,175,175.1000061,174.8999939,174.8000031
2026-04-28 10:21:00+00,92.90000153,60.90000153,248.3999939,175.3000031,175,174.8999939,174.8000031
2026-04-28 10:22:00+00,93,61.40000153,247.3000031,175.3000031,175,175,174.6999969
2026-04-28 10:23:00+00,95.30000305,60.70000076,247.3999939,175.1000061,175,175,174.6999969
2026-04-28 10:26:00+00,91.90000153,60.5,250.6000061,175.1000061,175.1000061,175.1000061,175
2026-04-28 10:27:00+00,96.30000305,63.20000076,249.6000061,175.3000031,175.1000061,175,175
2026-04-28 10:28:00+00,96.19999695,60.79999924,247.6999969,175.3000031,175.1000061,175,174.8000031
2026-04-28 10:29:00+00,95.5,60.40000153,247,175,175,175,174.6999969
2026-04-28 10:30:00+00,95.19999695,61.09999847,248,174.8999939,174.8999939,175.1000061,174.6999969
2026-04-28 10:31:00+00,92.5,61.09999847,250,174.8000031,175,175,175.1000061
2026-04-28 10:32:00+00,92,60.5,250.6000061,174.8000031,174.8999939,175,175.3999939
2026-04-28 10:33:00+00,93.90000153,60.59999847,251,174.8000031,174.8999939,175,175
2026-04-28 10:34:00+00,94.69999695,60.79999924,250.1000061,175,174.8999939,175,174.8000031
2026-04-28 10:35:00+00,95.5,62.40000153,248.5,175,175.1000061,175,174.8000031
2026-04-28 10:36:00+00,93.69999695,61.70000076,247.3999939,175,175.1999969,175,174.6999969
2026-04-28 10:37:00+00,93.5,61.70000076,247.8000031,175.1000061,175.3000031,175,174.8000031
2026-04-28 10:38:00+00,95.19999695,60.90000153,249.1000061,175.1000061,175.1999969,175,174.6999969
2026-04-28 10:39:00+00,96.19999695,62.40000153,251.1000061,175,175.1999969,175,174.8000031
2026-04-28 10:40:00+00,95.80000305,65,250.8999939,175,175.1000061,175,175
2026-04-28 10:41:00+00,93.5,61.90000153,249.5,175,175,175,175
2026-04-28 10:42:00+00,92.30000305,60.59999847,248,175.1000061,175,175,174.8000031
2026-04-28 10:43:00+00,93.69999695,60.20000076,247,175.1000061,175,175,175
2026-04-28 10:44:00+00,92.90000153,61.5,246.8000031,175.1000061,175.1000061,175,175.1999969
2026-04-28 10:45:00+00,91.30000305,60.79999924,248,175.3000031,175.1000061,175,174.8000031
2026-04-28 10:46:00+00,91.40000153,60,248.8000031,175.1000061,175,175,174.8000031
2026-04-28 10:47:00+00,94.19999695,61.09999847,248.1999969,174.8999939,175,175,174.6999969
2026-04-28 10:48:00+00,92.59999847,61.29999924,246.1000061,174.8999939,175,175,175
2026-04-28 10:49:00+00,92.5,60.79999924,245,174.8999939,175,175,175.1999969
2026-04-28 10:50:00+00,90.69999695,61,245.3999939,174.8999939,175,175,175.1000061
2026-04-28 10:51:00+00,92.59999847,61.09999847,246.6999969,175,175,175.1000061,174.5
2026-04-28 10:52:00+00,93.19999695,61.20000076,248.1000061,175.1999969,174.8999939,175.1000061,174.3000031
